Gene name,Gene stable ID,Mouse gene name,Mouse gene stable ID
,ENSMODG00000051404,,
,ENSMODG00000011636,Gtf2a2,ENSMUSG00000033543
LZTS2,ENSMODG00000011955,Lzts2,ENSMUSG00000035342
LRRTM3,ENSMODG00000017246,Lrrtm3,ENSMUSG00000042846
,ENSMODG00000039654,,
ZFYVE1,ENSMODG00000006861,Zfyve1,ENSMUSG00000042628
C5orf24,ENSMODG00000014344,B230219D22Rik,ENSMUSG00000045767
,ENSMODG00000041590,,
,ENSMODG00000044131,,
,ENSMODG00000040056,Kcnma1,ENSMUSG00000063142
,ENSMODG00000050693,,
,ENSMODG00000046549,,
U6,ENSMODG00000026137,,
,ENSMODG00000037370,,
TWNK,ENSMODG00000011966,Twnk,ENSMUSG00000025209
,ENSMODG00000047805,,
BNIP2,ENSMODG00000011629,Bnip2,ENSMUSG00000011958
,ENSMODG00000024887,Rpe,ENSMUSG00000026005
,ENSMODG00000038200,Kcnma1,ENSMUSG00000063142
,ENSMODG00000017233,,
TNFSF8,ENSMODG00000019580,Tnfsf8,ENSMUSG00000028362
MRPL43,ENSMODG00000011975,Mrpl43,ENSMUSG00000025208
,ENSMODG00000006889,Dcaf4,ENSMUSG00000021222
EMX2,ENSMODG00000009388,Emx2,ENSMUSG00000043969
,ENSMODG00000025746,Bpifb2,ENSMUSG00000027481
,ENSMODG00000035144,,
,ENSMODG00000031105,,
,ENSMODG00000041510,,
,ENSMODG00000050254,,
,ENSMODG00000025306,,
,ENSMODG00000049423,,
,ENSMODG00000050826,,
,ENSMODG00000010428,Or6f2,ENSMUSG00000051051
SEMA4G,ENSMODG00000011993,Sema4g,ENSMUSG00000025207
DDX46,ENSMODG00000014331,Ddx46,ENSMUSG00000021500
PDZD8,ENSMODG00000009394,Pdzd8,ENSMUSG00000074746
FOXB1,ENSMODG00000024647,Foxb1,ENSMUSG00000059246
,ENSMODG00000010413,Or6ae1,ENSMUSG00000051180
,ENSMODG00000038411,,
KIF20B,ENSMODG00000007283,Kif20b,ENSMUSG00000024795
,ENSMODG00000026474,Gm24339,ENSMUSG00000077394
,ENSMODG00000010387,Scart2,ENSMUSG00000054672
,ENSMODG00000010387,Scart1,ENSMUSG00000025461
,ENSMODG00000033695,,
,ENSMODG00000000018,Sun5,ENSMUSG00000027480
,ENSMODG00000050746,,
SLC18A2,ENSMODG00000009424,Slc18a2,ENSMUSG00000025094
,ENSMODG00000047772,,
,ENSMODG00000041396,,
ANXA2,ENSMODG00000011604,Anxa2,ENSMUSG00000032231
,ENSMODG00000045517,,
,ENSMODG00000041243,,
,ENSMODG00000049136,,
,ENSMODG00000047808,,
,ENSMODG00000051589,,
,ENSMODG00000042623,,
,ENSMODG00000039990,,
VAX1,ENSMODG00000009428,Vax1,ENSMUSG00000006270
,ENSMODG00000047068,,
,ENSMODG00000038073,,
,ENSMODG00000033374,,
,ENSMODG00000028982,Scart2,ENSMUSG00000054672
,ENSMODG00000028982,Scart1,ENSMUSG00000025461
,ENSMODG00000051138,,
PANK1,ENSMODG00000007301,Pank1,ENSMUSG00000033610
,ENSMODG00000040511,,
,ENSMODG00000050574,,
ICE2,ENSMODG00000011568,Ice2,ENSMUSG00000032235
,ENSMODG00000049075,,
,ENSMODG00000043593,,
,ENSMODG00000042557,,
,ENSMODG00000028976,Efcab8,ENSMUSG00000044083
,ENSMODG00000037802,,
TNC,ENSMODG00000019592,Tnc,ENSMUSG00000028364
,ENSMODG00000040788,,
,ENSMODG00000025296,Or13a21,ENSMUSG00000063823
,ENSMODG00000025296,Or13a19,ENSMUSG00000061489
,ENSMODG00000010379,Or13a21,ENSMUSG00000063823
,ENSMODG00000010379,Or13a19,ENSMUSG00000061489
,ENSMODG00000029083,Slc22a26,ENSMUSG00000053303
,ENSMODG00000029083,Slc22a28,ENSMUSG00000063590
,ENSMODG00000029083,Slc22a30,ENSMUSG00000052562
,ENSMODG00000029083,Slc22a29,ENSMUSG00000075044
,ENSMODG00000029083,Slc22a27,ENSMUSG00000067656
,ENSMODG00000029083,Slc22a19,ENSMUSG00000024757
U6,ENSMODG00000026642,Gm23858,ENSMUSG00000089009
DPF3,ENSMODG00000028306,Dpf3,ENSMUSG00000021221
RORA,ENSMODG00000011532,Rora,ENSMUSG00000032238
,ENSMODG00000044101,Or13a21,ENSMUSG00000063823
,ENSMODG00000044101,Or13a19,ENSMUSG00000061489
SHTN1,ENSMODG00000009476,Shtn1,ENSMUSG00000041362
CAMLG,ENSMODG00000036964,Caml,ENSMUSG00000021501
,ENSMODG00000010351,Or13a21,ENSMUSG00000063823
,ENSMODG00000010351,Or13a19,ENSMUSG00000061489
REEP3,ENSMODG00000017199,Reep3,ENSMUSG00000019873
MAPRE1,ENSMODG00000019445,Mapre1,ENSMUSG00000027479
,ENSMODG00000047213,Or2j6,ENSMUSG00000062712
,ENSMODG00000047213,Or12j2,ENSMUSG00000062782
,ENSMODG00000037279,,
,ENSMODG00000042373,,
,ENSMODG00000047667,Or13a21,ENSMUSG00000063823
,ENSMODG00000047667,Or13a19,ENSMUSG00000061489
,ENSMODG00000030317,,
EML1,ENSMODG00000013095,Eml1,ENSMUSG00000058070
,ENSMODG00000010323,,
,ENSMODG00000032203,,
MIR107,ENSMODG00000022409,,
,ENSMODG00000038916,,
DNMT3B,ENSMODG00000019447,Dnmt3b,ENSMUSG00000027478
DNMT3B,ENSMODG00000019447,Dnmt3c,ENSMUSG00000082079
,ENSMODG00000037270,,
,ENSMODG00000050705,,
,ENSMODG00000009479,Taf11,ENSMUSG00000024218
,ENSMODG00000048071,,
,ENSMODG00000043890,,
SLC16A12,ENSMODG00000007350,Slc16a12,ENSMUSG00000009378
,ENSMODG00000019598,Zbtb8os,ENSMUSG00000057572
,ENSMODG00000046000,,
DLG5,ENSMODG00000001002,Dlg5,ENSMUSG00000021782
,ENSMODG00000042716,Or13a26,ENSMUSG00000057997
,ENSMODG00000042716,Or13a24,ENSMUSG00000095901
,ENSMODG00000042716,Or13a25,ENSMUSG00000059136
,ENSMODG00000042716,Or13a27,ENSMUSG00000060112
,ENSMODG00000042716,Or13a28,ENSMUSG00000096069
,ENSMODG00000042716,Or13a22,ENSMUSG00000063230
,ENSMODG00000042716,Or13a17,ENSMUSG00000066122
,ENSMODG00000042716,Or13a18,ENSMUSG00000093942
,ENSMODG00000042716,Or13a20,ENSMUSG00000094819
,ENSMODG00000035622,,
,ENSMODG00000045416,,
,ENSMODG00000032202,,
,ENSMODG00000046946,,
,ENSMODG00000040830,,
,ENSMODG00000012013,Slf2,ENSMUSG00000036097
,ENSMODG00000047394,Or13a26,ENSMUSG00000057997
,ENSMODG00000047394,Or13a24,ENSMUSG00000095901
,ENSMODG00000047394,Or13a25,ENSMUSG00000059136
,ENSMODG00000047394,Or13a27,ENSMUSG00000060112
,ENSMODG00000047394,Or13a28,ENSMUSG00000096069
,ENSMODG00000047394,Or13a22,ENSMUSG00000063230
,ENSMODG00000047394,Or13a17,ENSMUSG00000066122
,ENSMODG00000047394,Or13a18,ENSMUSG00000093942
,ENSMODG00000047394,Or13a20,ENSMUSG00000094819
,ENSMODG00000007358,,
,ENSMODG00000050065,,
ENO4,ENSMODG00000009486,Eno4,ENSMUSG00000048029
,ENSMODG00000037126,,
COMMD7,ENSMODG00000019450,Commd7,ENSMUSG00000056941
,ENSMODG00000047872,,
RGS6,ENSMODG00000007000,Rgs6,ENSMUSG00000021219
,ENSMODG00000048666,,
,ENSMODG00000036767,,
,ENSMODG00000024882,,
,ENSMODG00000039706,,
,ENSMODG00000045018,,
,ENSMODG00000038857,Ifit1,ENSMUSG00000034459
,ENSMODG00000038857,Ifit1bl1,ENSMUSG00000079339
,ENSMODG00000038857,Ifit1bl2,ENSMUSG00000067297
,ENSMODG00000050687,Or13a26,ENSMUSG00000057997
,ENSMODG00000050687,Or13a24,ENSMUSG00000095901
,ENSMODG00000050687,Or13a25,ENSMUSG00000059136
,ENSMODG00000050687,Or13a27,ENSMUSG00000060112
,ENSMODG00000050687,Or13a28,ENSMUSG00000096069
,ENSMODG00000050687,Or13a22,ENSMUSG00000063230
,ENSMODG00000050687,Or13a17,ENSMUSG00000066122
,ENSMODG00000050687,Or13a18,ENSMUSG00000093942
,ENSMODG00000050687,Or13a20,ENSMUSG00000094819
,ENSMODG00000043738,,
,ENSMODG00000035732,,
,ENSMODG00000048526,,
,ENSMODG00000045148,,
,ENSMODG00000038217,Or2j6,ENSMUSG00000062712
,ENSMODG00000038217,Or12j2,ENSMUSG00000062782
,ENSMODG00000042456,,
,ENSMODG00000041239,,
,ENSMODG00000049954,,
,ENSMODG00000050962,,
,ENSMODG00000034475,,
HSPA12A,ENSMODG00000009501,Hspa12a,ENSMUSG00000025092
,ENSMODG00000027971,Gm21833,ENSMUSG00000094030
,ENSMODG00000027971,,ENSMUSG00000096808
,ENSMODG00000027971,Gm21750,ENSMUSG00000096463
,ENSMODG00000027971,Gm21897,ENSMUSG00000094472
,ENSMODG00000027971,Gm21962,ENSMUSG00000094856
,ENSMODG00000027971,Gm17555,ENSMUSG00000090353
U6,ENSMODG00000036389,Gm55610,ENSMUSG00002075640
CYP2E1,ENSMODG00000010247,Cyp2e1,ENSMUSG00000025479
,ENSMODG00000042779,,
NOL4L,ENSMODG00000019455,Nol4l,ENSMUSG00000061411
,ENSMODG00000040042,,
,ENSMODG00000024008,Cdk1,ENSMUSG00000019942
,ENSMODG00000037487,,
,ENSMODG00000010204,Cyp2c23,ENSMUSG00000025197
,ENSMODG00000009505,1700019N19Rik,ENSMUSG00000026931
JMJD1C,ENSMODG00000017196,Jmjd1c,ENSMUSG00000037876
CHST15,ENSMODG00000007407,Chst15,ENSMUSG00000030930
ASXL1,ENSMODG00000019457,Asxl1,ENSMUSG00000042548
,ENSMODG00000025781,Cyp2c23,ENSMUSG00000025197
PNLIPRP2,ENSMODG00000009519,Pnliprp2,ENSMUSG00000025091
,ENSMODG00000025274,Or13a26,ENSMUSG00000057997
,ENSMODG00000025274,Or13a24,ENSMUSG00000095901
,ENSMODG00000025274,Or13a25,ENSMUSG00000059136
,ENSMODG00000025274,Or13a27,ENSMUSG00000060112
,ENSMODG00000025274,Or13a28,ENSMUSG00000096069
,ENSMODG00000025274,Or13a22,ENSMUSG00000063230
,ENSMODG00000025274,Or13a17,ENSMUSG00000066122
,ENSMODG00000025274,Or13a18,ENSMUSG00000093942
,ENSMODG00000025274,Or13a20,ENSMUSG00000094819
,ENSMODG00000041434,,
,ENSMODG00000025273,Or13a26,ENSMUSG00000057997
,ENSMODG00000025273,Or13a24,ENSMUSG00000095901
,ENSMODG00000025273,Or13a25,ENSMUSG00000059136
,ENSMODG00000025273,Or13a27,ENSMUSG00000060112
,ENSMODG00000025273,Or13a28,ENSMUSG00000096069
,ENSMODG00000025273,Or13a22,ENSMUSG00000063230
,ENSMODG00000025273,Or13a17,ENSMUSG00000066122
,ENSMODG00000025273,Or13a18,ENSMUSG00000093942
,ENSMODG00000025273,Or13a20,ENSMUSG00000094819
,ENSMODG00000039686,Atp5j2,ENSMUSG00000038690
KIF3B,ENSMODG00000019460,Kif3b,ENSMUSG00000027475
,ENSMODG00000039138,,
,ENSMODG00000028869,,
POLR3A,ENSMODG00000001036,Polr3a,ENSMUSG00000025280
,ENSMODG00000047140,Or6d15,ENSMUSG00000050654
,ENSMODG00000047140,Or6d12,ENSMUSG00000053251
,ENSMODG00000047140,Or6d14,ENSMUSG00000051046
,ENSMODG00000047140,Or6d13,ENSMUSG00000081649
CPXM2,ENSMODG00000007502,Cpxm2,ENSMUSG00000030862
,ENSMODG00000024734,,
PNLIPRP1,ENSMODG00000009543,Pnliprp1,ENSMUSG00000042179
,ENSMODG00000010021,Or6d15,ENSMUSG00000050654
,ENSMODG00000010021,Or6d12,ENSMUSG00000053251
,ENSMODG00000010021,Or6d14,ENSMUSG00000051046
,ENSMODG00000010021,Or6d13,ENSMUSG00000081649
SEC24A,ENSMODG00000014243,Sec24a,ENSMUSG00000036391
,ENSMODG00000038094,,
SIPA1L1,ENSMODG00000007046,Sipa1l1,ENSMUSG00000042700
,ENSMODG00000010011,Zfp422,ENSMUSG00000059878
PNLIP,ENSMODG00000009583,Pnlip,ENSMUSG00000046008
HHIPL1,ENSMODG00000013069,Hhipl1,ENSMUSG00000021260
PAX2,ENSMODG00000019353,Pax2,ENSMUSG00000004231
POFUT1,ENSMODG00000019462,Pofut1,ENSMUSG00000046020
5S_rRNA,ENSMODG00000046407,Gm54954,ENSMUSG00002074968
PAPPA,ENSMODG00000019600,Pappa,ENSMUSG00000028370
GPR26,ENSMODG00000007533,Gpr26,ENSMUSG00000040125
RPS24,ENSMODG00000025091,,
,ENSMODG00000048145,,
,ENSMODG00000046901,,
,ENSMODG00000037818,,
,ENSMODG00000042118,,
RASSF4,ENSMODG00000010000,Rassf4,ENSMUSG00000042129
,ENSMODG00000043231,,
PLAGL2,ENSMODG00000040047,Plagl2,ENSMUSG00000051413
U6,ENSMODG00000043754,,
CCDC172,ENSMODG00000009589,Ccdc172,ENSMUSG00000025090
,ENSMODG00000039055,,
PCDH15,ENSMODG00000016351,Pcdh15,ENSMUSG00000052613
,ENSMODG00000045445,Tm9sf4,ENSMUSG00000068040
,ENSMODG00000034869,,
CCDC85C,ENSMODG00000023818,Ccdc85c,ENSMUSG00000084883
U6,ENSMODG00000041033,Gm56390,ENSMUSG00002076435
,ENSMODG00000007542,,
,ENSMODG00000049439,,
,ENSMODG00000010008,Depp1,ENSMUSG00000048489
HIF1AN,ENSMODG00000036427,Hif1an,ENSMUSG00000036450
ASTN2,ENSMODG00000019604,Astn2,ENSMUSG00000028373
,ENSMODG00000039021,Tm9sf4,ENSMUSG00000068040
U6,ENSMODG00000040473,,
,ENSMODG00000051464,,
,ENSMODG00000044340,,
TMEM72,ENSMODG00000009987,Tmem72,ENSMUSG00000048108
HMX2,ENSMODG00000007548,Hmx2,ENSMUSG00000050100
,ENSMODG00000048272,Tm9sf4,ENSMUSG00000068040
,ENSMODG00000035295,,
,ENSMODG00000013066,,
NRBF2,ENSMODG00000017183,Nrbf2,ENSMUSG00000075000
HMX3,ENSMODG00000007552,Hmx3,ENSMUSG00000040148
GFRA1,ENSMODG00000009606,Gfra1,ENSMUSG00000025089
,ENSMODG00000050702,,
,ENSMODG00000039448,,
,ENSMODG00000030690,,
,ENSMODG00000019356,Ndufb8,ENSMUSG00000025204
,ENSMODG00000035963,,
CCNK,ENSMODG00000013056,Ccnk,ENSMUSG00000021258
,ENSMODG00000041217,,
CXCL12,ENSMODG00000009971,Cxcl12,ENSMUSG00000061353
,ENSMODG00000050516,,
EGR2,ENSMODG00000017110,Egr2,ENSMUSG00000037868
ACADSB,ENSMODG00000007778,Acadsb,ENSMUSG00000030861
,ENSMODG00000040280,,
,ENSMODG00000048391,,
,ENSMODG00000048596,,
,ENSMODG00000034592,,
ADO,ENSMODG00000017108,Ado,ENSMUSG00000057134
HCK,ENSMODG00000019471,Hck,ENSMUSG00000003283
IKZF5,ENSMODG00000038834,Ikzf5,ENSMUSG00000040167
,ENSMODG00000035815,,
,ENSMODG00000031671,,
,ENSMODG00000030794,,
,ENSMODG00000038078,,
,ENSMODG00000046150,,
PSTK,ENSMODG00000007808,Pstk,ENSMUSG00000063179
,ENSMODG00000037662,,
CCM2L,ENSMODG00000019474,Ccm2l,ENSMUSG00000027474
C10orf88,ENSMODG00000007814,2310057M21Rik,ENSMUSG00000040177
,ENSMODG00000028448,Atrnl1,ENSMUSG00000054843
U6,ENSMODG00000026915,,
SAR1B,ENSMODG00000014227,Sar1b,ENSMUSG00000020386
,ENSMODG00000042601,,
,ENSMODG00000023265,Rbbp8nl,ENSMUSG00000038980
,ENSMODG00000033590,,
XKR7,ENSMODG00000019477,Xkr7,ENSMUSG00000042631
CUZD1,ENSMODG00000007863,Cuzd1,ENSMUSG00000040205
TRIM32,ENSMODG00000019608,Trim32,ENSMUSG00000051675
,ENSMODG00000037471,,
SEC31B,ENSMODG00000019357,Sec31b,ENSMUSG00000051984
,ENSMODG00000009640,Atrnl1,ENSMUSG00000054843
,ENSMODG00000038698,,
PDRG1,ENSMODG00000019480,Pdrg1,ENSMUSG00000027472
SETD3,ENSMODG00000012975,Setd3,ENSMUSG00000056770
,ENSMODG00000047412,,
,ENSMODG00000034036,,
,ENSMODG00000040843,,
,ENSMODG00000030177,,
CABLES2,ENSMODG00000023264,Cables2,ENSMUSG00000038990
,ENSMODG00000049699,,
TTLL9,ENSMODG00000023510,Ttll9,ENSMUSG00000074673
JADE2,ENSMODG00000014214,Jade2,ENSMUSG00000020387
ZNF365,ENSMODG00000017107,Zfp365,ENSMUSG00000037855
U6,ENSMODG00000026151,Gm55959,ENSMUSG00002076756
,ENSMODG00000027910,,
,ENSMODG00000027416,,
,ENSMODG00000028743,,
RTKN2,ENSMODG00000017104,Rtkn2,ENSMUSG00000037846
,ENSMODG00000016769,Rps21,ENSMUSG00000039001
,ENSMODG00000023529,Trappc6b,ENSMUSG00000020993
,ENSMODG00000027750,,
PCNX1,ENSMODG00000007103,Pcnx,ENSMUSG00000021140
,ENSMODG00000049210,,
ARIH1,ENSMODG00000009966,Arih1,ENSMUSG00000025234
,ENSMODG00000030022,,
,ENSMODG00000046515,,
,ENSMODG00000050873,,
DUSP15,ENSMODG00000019482,Dusp15,ENSMUSG00000042662
,ENSMODG00000007895,,
ARID5B,ENSMODG00000017102,Arid5b,ENSMUSG00000019947
,ENSMODG00000029102,,
,ENSMODG00000041034,,
U4,ENSMODG00000026530,,
TLR4,ENSMODG00000019614,Tlr4,ENSMUSG00000039005
,ENSMODG00000046992,,
,ENSMODG00000038888,,
,ENSMODG00000042167,,
,ENSMODG00000030725,,
,ENSMODG00000019483,,
BCL11B,ENSMODG00000012964,Bcl11b,ENSMUSG00000048251
,ENSMODG00000036675,,
,ENSMODG00000017099,,
TRUB1,ENSMODG00000009676,Trub1,ENSMUSG00000025086
,ENSMODG00000051515,,
,ENSMODG00000007308,Or11h6,ENSMUSG00000050028
,ENSMODG00000019485,,
ZMIZ1,ENSMODG00000001116,Zmiz1,ENSMUSG00000007817
,ENSMODG00000048119,,
BBS4,ENSMODG00000009951,Bbs4,ENSMUSG00000025235
,ENSMODG00000048429,,
TMEM26,ENSMODG00000048319,Tmem26,ENSMUSG00000060044
,ENSMODG00000014209,Ube2b,ENSMUSG00000020390
,ENSMODG00000038195,,
,ENSMODG00000007900,4933402N03Rik,ENSMUSG00000013668
,ENSMODG00000036410,,
,ENSMODG00000042565,,
U6,ENSMODG00000021661,,
,ENSMODG00000039881,,
,ENSMODG00000046820,,
,ENSMODG00000019354,Zscan2,ENSMUSG00000038797
,ENSMODG00000035992,,
,ENSMODG00000043843,,
,ENSMODG00000039355,,
,ENSMODG00000044696,,
,ENSMODG00000048288,,
,ENSMODG00000017097,Rhobtb1,ENSMUSG00000019944
,ENSMODG00000007274,,
,ENSMODG00000037013,,
,ENSMODG00000041204,,
,ENSMODG00000032305,,
MYLK2,ENSMODG00000019486,Mylk2,ENSMUSG00000027470
FHIP2A,ENSMODG00000009713,Fhip2a,ENSMUSG00000033478
,ENSMODG00000041014,,
SIX1,ENSMODG00000049037,Six1,ENSMUSG00000051367
,ENSMODG00000030170,,
,ENSMODG00000031270,,
PAK6,ENSMODG00000000535,Pak6,ENSMUSG00000074923
,ENSMODG00000019359,Zfy2,ENSMUSG00000000103
,ENSMODG00000019359,Zfy1,ENSMUSG00000053211
,ENSMODG00000030760,,
,ENSMODG00000045268,,
,ENSMODG00000017091,Cdk1,ENSMUSG00000019942
,ENSMODG00000048396,Zfyve26,ENSMUSG00000066440
SIX4,ENSMODG00000008646,Six4,ENSMUSG00000034460
,ENSMODG00000031047,,
,ENSMODG00000039546,,
,ENSMODG00000038064,,
,ENSMODG00000042285,,
,ENSMODG00000001782,Unc13c,ENSMUSG00000062151
,ENSMODG00000006392,Taf8,ENSMUSG00000023980
,ENSMODG00000049163,,
,ENSMODG00000037918,,
,ENSMODG00000048585,,
ANKRD63,ENSMODG00000044472,Ankrd63,ENSMUSG00000078137
ADPGK,ENSMODG00000009941,Adpgk,ENSMUSG00000025236
HYI,ENSMODG00000024749,,
,ENSMODG00000032104,,
,ENSMODG00000032523,,
,ENSMODG00000045619,,
TPX2,ENSMODG00000019489,Tpx2,ENSMUSG00000027469
,ENSMODG00000036712,,
OR11H4,ENSMODG00000007255,Or11h4,ENSMUSG00000059069
OR11H4,ENSMODG00000007255,Or11h4b,ENSMUSG00000057179
,ENSMODG00000043535,,
,ENSMODG00000044521,,
SPARC,ENSMODG00000009028,Sparc,ENSMUSG00000018593
MNAT1,ENSMODG00000008657,Mnat1,ENSMUSG00000021103
U6,ENSMODG00000022104,,
WDR73,ENSMODG00000019360,Wdr73,ENSMUSG00000025722
,ENSMODG00000037683,,
,ENSMODG00000045754,,
ADCK1,ENSMODG00000005228,Adck1,ENSMUSG00000021044
,ENSMODG00000037036,,
,ENSMODG00000032958,,
,ENSMODG00000050044,,
PLCB2,ENSMODG00000000528,Plcb2,ENSMUSG00000040061
,ENSMODG00000008662,Aqp9,ENSMUSG00000032204
,ENSMODG00000033113,,
,ENSMODG00000044118,,
